prompt,outdir,skip_grid,skip_save,config_path,ckpt_path,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,speed_mp,turbo,precision,format,sampler,num_images,height,width,outpath
Isaac Asimov,outputs/txt2img-samples,False,False,../deps/stable-diffusion/optimizedSD/v1-inference.yaml,../deps/stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,909416,1,3,False,autocast,png,plms,1,512,512,outputs/txt2img-samples
Isaac Asimov,outputs/txt2img-samples,False,False,../deps/stable-diffusion/optimizedSD/v1-inference.yaml,../deps/stable-diffusion/models/ldm/stable-diffusion-v1/model.ckpt,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,116007,1,3,False,autocast,png,plms,1,512,512,outputs/txt2img-samples
